match_id,date,time,tour,tournament,surface,round,player_a,player_b,player_a_rank,player_b_rank,diff_rank,player_a_odds,player_b_odds,player_a_implied_prob,player_b_implied_prob,diff_implied_prob,player_a_matches_before,player_b_matches_before,player_a_win_rate_l5,player_b_win_rate_l5,diff_win_rate_l5,player_a_win_rate_all,player_b_win_rate_all,diff_win_rate_all,player_a_streak,player_b_streak,diff_streak,TARGET_player_a_win
ATP-2023-0314-273,2023-07-17,nan,ATP,Gstaad,Clay,R32,Zizou Bergs,Laslo Djere,175.0,55.0,-120.0,,,,,,0.0,3.0,,0.6666666666666666,,,0.6666666666666666,,0.0,-1.0,1.0,1
ATP-2023-0314-275,2023-07-17,nan,ATP,Gstaad,Clay,R32,Fabio Fognini,Albert Ramos,128.0,79.0,-49.0,,,,,,1.0,0.0,0.0,,,0.0,,,-1.0,0.0,-1.0,0
ATP-2023-0314-276,2023-07-17,nan,ATP,Gstaad,Clay,R32,Facundo Bagnis,Arthur Rinderknech,136.0,82.0,-54.0,,,,,,0.0,1.0,,0.0,,,0.0,,0.0,-1.0,1.0,1
ATP-2023-0314-277,2023-07-17,nan,ATP,Gstaad,Clay,R32,Juan Pablo Varillas,Otto Virtanen,66.0,132.0,66.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0314-278,2023-07-17,nan,ATP,Gstaad,Clay,R32,Hamad Medjedovic,Zhizhen Zhang,183.0,70.0,-113.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0314-279,2023-07-17,nan,ATP,Gstaad,Clay,R32,Alexandre Muller,Dominic Thiem,76.0,94.0,18.0,,,,,,0.0,3.0,,0.6666666666666666,,,0.6666666666666666,,0.0,-1.0,1.0,0
ATP-2023-0314-280,2023-07-17,nan,ATP,Gstaad,Clay,R32,Daniel Altmaier,Benjamin Bonzi,64.0,107.0,43.0,,,,,,1.0,0.0,0.0,,,0.0,,,-1.0,0.0,-1.0,1
ATP-2023-0314-282,2023-07-17,nan,ATP,Gstaad,Clay,R32,Roberto Carballes Baena,Stan Wawrinka,60.0,74.0,14.0,,,,,,1.0,0.0,0.0,,,0.0,,,-1.0,0.0,-1.0,0
ATP-2023-0314-283,2023-07-17,nan,ATP,Gstaad,Clay,R32,Alexander Ritschard,Jaume Munar,163.0,110.0,-53.0,,,,,,2.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,-1.0,-1.0,0.0,0
ATP-2023-0314-284,2023-07-17,nan,ATP,Gstaad,Clay,R32,Taro Daniel,Pedro Cachin,112.0,90.0,-22.0,,,,,,0.0,1.0,,0.0,,,0.0,,0.0,-1.0,1.0,0
ATP-2023-0314-286,2023-07-17,nan,ATP,Gstaad,Clay,R16,Miomir Kecmanovic,Dominic Stricker,44.0,106.0,62.0,,,,,,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-2.0,1
ATP-2023-0314-287,2023-07-17,nan,ATP,Gstaad,Clay,R16,Jurij Rodionov,Zizou Bergs,118.0,175.0,57.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0
ATP-2023-0314-288,2023-07-17,nan,ATP,Gstaad,Clay,R16,Albert Ramos,Lorenzo Sonego,79.0,42.0,-37.0,,,,,,1.0,2.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,-1.0,2.0,1
ATP-2023-0314-289,2023-07-17,nan,ATP,Gstaad,Clay,R16,Juan Pablo Varillas,Facundo Bagnis,66.0,136.0,70.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
ATP-2023-0314-290,2023-07-17,nan,ATP,Gstaad,Clay,R16,Dominic Thiem,Hamad Medjedovic,94.0,183.0,89.0,,,,,,4.0,1.0,0.75,1.0,-0.25,0.75,1.0,-0.25,1.0,1.0,0.0,0
ATP-2023-0314-291,2023-07-17,nan,ATP,Gstaad,Clay,R16,Daniel Altmaier,Yannick Hanfmann,64.0,46.0,-18.0,,,,,,2.0,2.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,-1.0,2.0,0
ATP-2023-0314-292,2023-07-17,nan,ATP,Gstaad,Clay,R16,Jaume Munar,Stan Wawrinka,110.0,74.0,-36.0,,,,,,2.0,1.0,0.5,1.0,-0.5,0.5,1.0,-0.5,1.0,1.0,0.0,1
ATP-2023-0314-293,2023-07-17,nan,ATP,Gstaad,Clay,R16,Pedro Cachin,Roberto Bautista Agut,90.0,25.0,-65.0,,,,,,2.0,0.0,0.5,,,0.5,,,1.0,0.0,1.0,1
ATP-2023-0314-294,2023-07-17,nan,ATP,Gstaad,Clay,QF,Zizou Bergs,Miomir Kecmanovic,175.0,44.0,-131.0,,,,,,2.0,2.0,1.0,0.5,0.5,1.0,0.5,0.5,2.0,1.0,1.0,0
ATP-2023-0314-295,2023-07-17,nan,ATP,Gstaad,Clay,QF,Albert Ramos,Juan Pablo Varillas,79.0,66.0,-13.0,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1
ATP-2023-0314-296,2023-07-17,nan,ATP,Gstaad,Clay,QF,Hamad Medjedovic,Yannick Hanfmann,183.0,46.0,-137.0,,,,,,2.0,3.0,1.0,0.6666666666666666,0.33333333333333337,1.0,0.6666666666666666,0.33333333333333337,2.0,1.0,1.0,1
ATP-2023-0314-297,2023-07-17,nan,ATP,Gstaad,Clay,QF,Pedro Cachin,Jaume Munar,90.0,110.0,20.0,,,,,,3.0,3.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,1
ATP-2023-0314-298,2023-07-17,nan,ATP,Gstaad,Clay,SF,Albert Ramos,Miomir Kecmanovic,79.0,44.0,-35.0,,,,,,3.0,3.0,1.0,0.6666666666666666,0.33333333333333337,1.0,0.6666666666666666,0.33333333333333337,3.0,2.0,1.0,1
ATP-2023-0314-299,2023-07-17,nan,ATP,Gstaad,Clay,SF,Hamad Medjedovic,Pedro Cachin,183.0,90.0,-93.0,,,,,,3.0,4.0,1.0,0.75,0.25,1.0,0.75,0.25,3.0,3.0,0.0,0
ATP-2023-0314-300,2023-07-17,nan,ATP,Gstaad,Clay,F,Albert Ramos,Pedro Cachin,79.0,90.0,11.0,,,,,,4.0,5.0,1.0,0.8,0.19999999999999996,1.0,0.8,0.19999999999999996,4.0,4.0,0.0,0
