threshold,market_threshold,market_tiebreak_band,train_acc,valid_acc,full_acc
0.53,0.49,0.1,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.49,0.11,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.495,0.09,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.495,0.1,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.5,0.09,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.5,0.1,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.505,0.08,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.505,0.09,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.51,0.08,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.51,0.09,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.515,0.08,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.52,0.08,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.525,0.06,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.525,0.07,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.53,0.06,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.53,0.53,0.07,0.6353591160220995,0.7577092511013216,0.6598939929328622
0.52,0.49,0.1,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.49,0.11,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.495,0.09,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.495,0.1,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.5,0.09,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.5,0.1,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.505,0.08,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.505,0.09,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.51,0.08,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.51,0.09,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.515,0.08,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.52,0.08,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.525,0.06,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.525,0.07,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.53,0.06,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.52,0.53,0.07,0.6331491712707182,0.7577092511013216,0.6581272084805654
0.505,0.49,0.1,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.49,0.11,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.495,0.09,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.495,0.1,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.5,0.09,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.5,0.1,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.505,0.08,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.505,0.09,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.51,0.08,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.51,0.09,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.515,0.08,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.52,0.08,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.525,0.06,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.525,0.07,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.53,0.06,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.505,0.53,0.07,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.51,0.49,0.1,0.6287292817679558,0.7577092511013216,0.6545936395759717
0.51,0.49,0.11,0.6287292817679558,0.7577092511013216,0.6545936395759717
